# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = exp2d_pixelated_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = plum.data.R
# init = 2 (Default)
# random
#   seed = 1724050829
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rhalf,ell,x0,y0,paV.1,paV.2,bgdens,objdens
# Adaptation terminated
# Step size = 0.129627
# Diagonal elements of inverse mass matrix:
# 0.0162525, 1.16222, 0.122176, 0.101495, 1.16079, 0.445415, 0.0225654, 0.0644644
-527.5,0.511611,0.129627,5,31,0,530.937,1.93224,0.378195,-0.643322,0.0961882,0.857928,0.51377,0.00218363,0.604792
-527.19,0.39529,0.129627,4,15,0,529.789,1.93772,0.374169,-0.578002,0.0882647,0.841355,0.540483,0.00222902,0.58403
-525.365,0.866844,0.129627,5,31,0,533.071,1.94592,0.282762,0.689053,1.22189,0.88883,0.458238,0.00223598,0.469432
-526.235,0.968618,0.129627,5,31,0,528.266,1.89734,0.287431,0.579081,1.24214,0.587023,0.80957,0.00232247,0.485148
-525.923,0.968686,0.129627,5,31,0,528.808,1.75861,0.2277,-0.0581235,0.50846,0.808709,0.588209,0.00169521,0.553661
-526.642,0.963352,0.129627,4,15,0,529.436,1.79965,0.171959,-0.360522,0.627397,0.897745,0.440515,0.00201095,0.572309
-528.134,0.95838,0.129627,4,15,0,530.168,1.6339,0.180991,-0.457212,0.797455,0.996927,0.0783394,0.00209578,0.562371
-531.515,0.953611,0.129627,5,31,0,533.729,1.72522,0.187842,0.995851,0.997001,0.971125,0.238569,0.0021588,0.587551
-525.332,0.991655,0.129627,4,31,0,533.021,1.89035,0.40373,0.461782,1.17713,0.790591,0.612345,0.00223071,0.543265
-525.448,0.890877,0.129627,5,31,0,529.394,1.88813,0.194471,0.1542,0.482434,0.857969,0.513701,0.00178286,0.491259
-524.136,0.697045,0.129627,4,31,0,530.757,1.8287,0.32403,-0.0763251,0.735892,0.9386,0.345006,0.00182259,0.548569
-525.802,0.612964,0.129627,5,31,0,526.757,1.67871,0.336365,0.212164,0.409911,0.888075,0.459699,0.0024768,0.690461
-524.292,0.436439,0.129627,4,31,0,526.79,1.93746,0.416965,-0.113863,0.612257,0.917834,0.396963,0.00219655,0.620825
-528.61,0.870102,0.129627,4,15,0,529.733,2.03823,0.288464,0.347295,0.161703,0.860266,0.509845,0.00178726,0.412155
-528.571,0.684146,0.129627,5,31,0,533.1,1.65783,0.23073,0.450322,0.162565,0.815539,0.578703,0.00176501,0.625199
-531.111,0.910316,0.129627,5,31,0,533.013,1.55945,0.183788,0.654698,0.150237,0.683639,0.729821,0.00176544,0.625146
-535.13,0.954912,0.129627,3,7,0,535.479,1.49603,0.230236,0.754685,0.0361909,0.651605,0.758559,0.00180439,0.617938
-533.054,0.985541,0.129627,4,31,0,538.545,1.61573,0.16529,0.794068,0.0205879,0.755699,0.654919,0.00176751,0.62102
-531.057,0.996134,0.129627,4,15,0,536.59,1.76635,0.29588,0.830648,0.284782,0.927514,0.373788,0.00157341,0.57938
-526.027,0.9975,0.129627,4,15,0,532.845,1.77273,0.298825,0.444892,1.30769,0.794656,0.60706,0.00178391,0.531076
-525.434,0.984571,0.129627,4,15,0,527.111,1.88741,0.318548,0.552792,1.10623,0.949973,0.312332,0.001772,0.561192
-525.364,0.992115,0.129627,5,31,0,529.92,1.41976,0.195572,0.172376,0.762942,0.847537,0.530736,0.00206988,0.807014
-524.587,0.978757,0.129627,5,31,0,526.554,1.64095,0.199461,0.32206,0.946263,0.984149,0.177344,0.00223591,0.614977
-525.351,0.99187,0.129627,5,31,0,526.449,2.18282,0.380747,0.0962575,0.641785,0.932717,0.36061,0.00181199,0.484706
-527.879,0.869386,0.129627,4,15,0,528.896,2.40997,0.54726,0.0815284,0.690146,0.930075,0.36737,0.00166342,0.46822
-528.262,0.933821,0.129627,5,31,0,531.34,1.36386,0.178639,0.355945,1.20445,0.986621,0.163033,0.00234817,0.787405
-527.889,0.995425,0.129627,5,31,0,533.221,1.57082,0.165309,0.549965,1.43185,0.936089,0.351764,0.00254232,0.612065
-525.509,0.954761,0.129627,4,31,0,530.904,1.74887,0.159726,0.012018,0.621662,0.792895,0.609358,0.00237038,0.495509
-527.321,0.988917,0.129627,5,31,0,531.128,1.79624,0.315311,0.1179,0.425769,0.684876,0.728659,0.00181955,0.560987
