# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = plummer2d_angle_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = plum.data.R
# init = 2 (Default)
# random
#   seed = 2176169100
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rhalf,ell,x0,y0,paV.1,paV.2,norm
# Adaptation terminated
# Step size = 0.196356
# Diagonal elements of inverse mass matrix:
# 0.0149357, 0.353937, 0.0203416, 0.0262842, 0.152704, 0.288605
-409.543,0.628205,0.196356,4,15,0,413.255,1.71679,0.290256,-0.526337,-0.352965,-0.310444,-0.950592,0.152165
-406.934,0.996592,0.196356,4,31,0,410.282,2.10716,0.398102,-0.122194,-0.308983,-0.315587,-0.948896,0.119106
-409.325,0.957686,0.196356,3,7,0,410.016,2.19696,0.289268,-0.0848091,-0.402183,-0.690196,-0.723622,0.0927894
-409.407,0.986217,0.196356,2,3,0,410.405,2.1346,0.273466,-0.0760046,-0.401299,-0.711368,-0.70282,0.0961524
-408.954,0.998386,0.196356,4,23,0,411.957,2.10165,0.306275,-0.00557876,-0.419642,-0.559958,-0.828521,0.103883
-405.128,0.666724,0.196356,4,15,0,410.294,2.04237,0.357193,-0.167955,-0.323988,-0.375408,-0.92686,0.118713
-406.906,0.964686,0.196356,3,7,0,409.508,2.21939,0.436711,-0.133688,-0.455195,-0.463081,-0.886316,0.114723
-408.234,0.631324,0.196356,4,15,0,411.735,2.36201,0.415464,-0.261684,-0.538971,-0.419796,-0.907619,0.0976061
-407.88,0.385785,0.196356,4,31,0,412.42,2.56969,0.488426,-0.118069,-0.246873,-0.412731,-0.910853,0.0942281
-408.398,0.324151,0.196356,4,15,0,411.085,2.33165,0.376177,-0.0441042,-0.380559,-0.575722,-0.817645,0.0938563
-409.716,0.947479,0.196356,4,15,0,412.446,2.31917,0.538839,-0.353934,-0.130268,-0.546231,-0.837635,0.128331
-410.087,1,0.196356,4,15,0,414.443,1.8482,0.439081,-0.105393,-0.2366,-0.503601,-0.863936,0.166131
-408.577,0.980791,0.196356,4,15,0,417.162,1.89517,0.427467,-0.316487,-0.275471,-0.548107,-0.836408,0.154794
-406.278,0.997453,0.196356,4,15,0,410.173,1.83245,0.238503,-0.113481,-0.285539,-0.478208,-0.878247,0.124485
-408.028,0.983101,0.196356,4,15,0,409.782,1.87331,0.350477,-0.40047,-0.275604,-0.497972,-0.867193,0.139648
-408.457,0.991806,0.196356,4,15,0,409.097,1.79344,0.374999,-0.347245,-0.234532,-0.50245,-0.864606,0.158342
-407.031,0.983711,0.196356,4,15,0,409.65,1.91409,0.300848,-0.271149,-0.374894,-0.563176,-0.826337,0.124266
-409.144,0.959997,0.196356,4,23,0,410.04,2.13461,0.339977,-0.186677,-0.516269,-0.568329,-0.822801,0.105841
-408.874,1,0.196356,4,15,0,409.441,2.13596,0.375574,-0.175498,-0.505705,-0.562845,-0.826563,0.111734
-408.729,0.988119,0.196356,4,15,0,411.538,1.7581,0.32301,-0.357394,0.0359219,-0.381424,-0.9244,0.152119
-408.515,0.988478,0.196356,4,15,0,410.95,2.1046,0.295611,0.00330353,-0.334964,-0.362917,-0.931822,0.102023
-405.539,0.943596,0.196356,4,15,0,409.846,1.9627,0.426176,-0.322526,-0.132185,-0.485139,-0.874437,0.144
-405.903,0.642048,0.196356,3,15,0,408.287,1.85361,0.426055,-0.242445,-0.150841,-0.450733,-0.892659,0.161415
-405.092,0.822022,0.196356,4,31,0,406.393,1.9126,0.410557,-0.227766,-0.339207,-0.510341,-0.859972,0.147626
-407.527,0.833736,0.196356,4,15,0,411.044,2.005,0.31981,-0.185662,0.00862773,-0.376496,-0.926418,0.11641
-407.612,1,0.196356,4,15,0,408.969,1.94016,0.351046,-0.278349,-0.462037,-0.620176,-0.784463,0.130306
-407.073,0.98908,0.196356,4,15,0,409.133,1.91175,0.336883,-0.255443,-0.344082,-0.374098,-0.927389,0.13134
