# Sample generated by Stan (Variational Bayes)
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1
# chain_id=1
# iter=10000
# grad_samples=1
# elbo_samples=100
# output_samples=1000
# eval_elbo=100
# eta=1
# tol_rel_obj=0.01
# algorithm=meanfield
# sample_file=output.csv
# append_samples=0
#
lp__,theta.1,theta.2,theta.3,mu.1.1,mu.2.1,mu.3.1,mu.1.2,mu.2.2,mu.3.2,sigma.1.1,sigma.2.1,sigma.3.1,sigma.1.2,sigma.2.2,sigma.3.2
# Stepsize adaptation complete.
# eta = 1
0,0.257579,0.303304,0.439118,-9.98784,-1.64285,-7.04283,-3.97753,4.43999,-8.15498,0.695232,0.569056,0.727801,0.746357,0.666764,0.875578
0,0.264099,0.297688,0.438213,-9.95767,-1.65729,-7.03704,-3.98623,4.43231,-8.15856,0.688957,0.575165,0.737229,0.739566,0.67138,0.891141
0,0.260826,0.30246,0.436714,-9.94225,-1.62584,-7.03911,-3.97353,4.44623,-8.17259,0.685877,0.567991,0.726549,0.739609,0.658041,0.868621
0,0.266497,0.305487,0.428016,-9.98127,-1.64802,-7.02802,-3.97028,4.44711,-8.16526,0.701007,0.57323,0.72285,0.734367,0.658468,0.87501
0,0.254479,0.303381,0.44214,-9.97198,-1.6398,-7.04969,-3.97419,4.43273,-8.13475,0.681719,0.570207,0.719539,0.757547,0.675443,0.870192
0,0.264276,0.299291,0.436433,-9.98529,-1.65452,-7.0345,-3.99474,4.43764,-8.14257,0.697278,0.571391,0.726869,0.755559,0.673187,0.877281
0,0.259091,0.30642,0.434489,-10.0194,-1.63647,-7.03775,-3.98367,4.46089,-8.13703,0.703687,0.562332,0.735399,0.736078,0.665056,0.88442
0,0.256695,0.296991,0.446314,-10.0071,-1.64406,-7.03257,-3.97323,4.4315,-8.16712,0.690833,0.573503,0.724176,0.755207,0.660884,0.866698
0,0.261963,0.300828,0.43721,-9.99184,-1.64125,-7.03299,-3.98416,4.45382,-8.14217,0.695236,0.575155,0.730625,0.731664,0.655389,0.873324
0,0.251996,0.306362,0.441642,-9.98927,-1.62938,-7.04394,-3.98093,4.45419,-8.16392,0.705022,0.573758,0.73058,0.733908,0.66656,0.875888
0,0.251974,0.311023,0.437004,-9.95847,-1.62899,-7.04102,-3.95828,4.43367,-8.1499,0.708032,0.574274,0.724591,0.741012,0.672798,0.865559
0,0.25242,0.305425,0.442155,-9.97997,-1.64611,-7.05004,-3.98559,4.44648,-8.15425,0.694177,0.568579,0.710887,0.756147,0.658059,0.882191
0,0.253864,0.305045,0.441091,-9.99808,-1.65081,-7.04331,-3.97362,4.43323,-8.16108,0.70096,0.569511,0.725035,0.741561,0.663003,0.875282
0,0.261841,0.30112,0.437039,-9.97653,-1.66437,-7.04045,-3.98779,4.41987,-8.16725,0.69083,0.578944,0.724548,0.740182,0.666705,0.85386
0,0.25458,0.310508,0.434912,-10.0169,-1.64037,-7.05029,-4.01439,4.42,-8.16887,0.679733,0.564001,0.72964,0.750163,0.672783,0.878562
0,0.255218,0.303307,0.441475,-10.0002,-1.64987,-7.05623,-3.98616,4.46483,-8.1536,0.691427,0.561915,0.730878,0.752351,0.664212,0.863357
0,0.255161,0.299921,0.444918,-9.98672,-1.65403,-7.04459,-3.97043,4.43471,-8.1467,0.713123,0.56629,0.728572,0.755447,0.680893,0.868955
0,0.259306,0.300588,0.440107,-9.97795,-1.62574,-7.03606,-3.98381,4.4334,-8.14282,0.680843,0.558539,0.7381,0.752747,0.648557,0.884263
0,0.252847,0.306427,0.440726,-9.9954,-1.64755,-7.04386,-3.98036,4.44729,-8.15038,0.682553,0.571881,0.722807,0.736773,0.669146,0.868486
0,0.262045,0.300965,0.43699,-9.99612,-1.63997,-7.0449,-3.95191,4.4362,-8.16572,0.703523,0.576022,0.722162,0.753542,0.672894,0.903281
0,0.258198,0.296316,0.445486,-9.97609,-1.62623,-7.04852,-3.98884,4.4404,-8.162,0.681638,0.560277,0.737829,0.751392,0.663441,0.86755
0,0.266705,0.296483,0.436812,-9.97823,-1.65288,-7.03334,-3.9742,4.44835,-8.14414,0.713947,0.56245,0.730593,0.725818,0.648235,0.883411
0,0.26331,0.300871,0.435819,-9.98879,-1.63663,-7.03405,-3.98078,4.44114,-8.15178,0.698127,0.564966,0.734452,0.747921,0.672065,0.868997
0,0.25832,0.308476,0.433204,-9.99736,-1.65076,-7.04944,-3.97529,4.44892,-8.14303,0.697069,0.561671,0.737403,0.752237,0.673115,0.875857
0,0.262632,0.29551,0.441859,-9.95086,-1.63626,-7.04677,-3.96723,4.44546,-8.1683,0.680622,0.565799,0.721202,0.750309,0.657599,0.878763
0,0.264249,0.29964,0.43611,-10.0142,-1.64304,-7.03216,-3.99217,4.42885,-8.14531,0.706255,0.574875,0.729501,0.725956,0.676668,0.865482
0,0.257374,0.304846,0.43778,-9.9722,-1.64607,-7.06423,-3.97026,4.42615,-8.15552,0.6978,0.562287,0.719172,0.756576,0.660732,0.881294
0,0.262604,0.304498,0.432899,-10.0011,-1.64424,-7.05426,-4.00741,4.44435,-8.16434,0.703376,0.577638,0.738729,0.753124,0.659057,0.89396
0,0.251269,0.302552,0.446179,-9.98843,-1.63526,-7.03634,-3.957,4.46296,-8.16809,0.68513,0.567753,0.721313,0.735036,0.669226,0.861826
0,0.259109,0.299682,0.441209,-9.98837,-1.63573,-7.04074,-3.97421,4.46205,-8.1595,0.698065,0.564622,0.724937,0.737502,0.676383,0.882438
0,0.266838,0.30548,0.427682,-9.98433,-1.6314,-7.04261,-3.95306,4.44368,-8.15782,0.703967,0.565856,0.728889,0.737952,0.663519,0.885618
