# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = mixtures_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = mixtures.data.R
# init = 2 (Default)
# random
#   seed = 1979823306
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma,sigma_outl,objfrac
# Adaptation terminated
# Step size = 0.277107
# Diagonal elements of inverse mass matrix:
# 0.000204157, 1.49667e-05, 0.00833937, 0.00254537, 0.017493
-324.497,0.368267,0.277107,4,15,0,330.983,5.00713,9.99759,91.794,0.110035,0.237352
-325.578,0.888693,0.277107,4,15,0,328.399,5.0217,9.99795,97.5901,0.0942919,0.201363
-324.989,0.999061,0.277107,4,15,0,329.445,5.01499,9.99533,108.557,0.108538,0.228685
-323.753,0.989218,0.277107,4,15,0,326.012,5.02947,9.99526,96.9094,0.0964651,0.205346
-324.025,0.99946,0.277107,4,15,0,325.016,5.01304,9.99756,98.3255,0.110307,0.174871
-323.83,0.948013,0.277107,4,15,0,326.538,5.01569,9.99653,92.9776,0.0981834,0.239418
-325.783,0.876333,0.277107,4,15,0,328.158,5.03593,9.99484,111.054,0.102154,0.167599
-324.91,0.687815,0.277107,4,15,0,329.061,5.0266,9.99387,110.686,0.10757,0.188123
-325.068,0.992191,0.277107,4,15,0,327.358,4.98922,10.0014,95.0638,0.0991119,0.22959
-323.178,0.944559,0.277107,4,15,0,327.041,5.02864,9.99613,105.268,0.105359,0.200511
-323.328,0.997878,0.277107,4,15,0,324.088,5.00989,9.99888,90.9422,0.105911,0.188648
-323.866,0.797381,0.277107,4,15,0,325.474,5.03225,9.99602,104.973,0.101383,0.204913
-323.592,0.983085,0.277107,4,15,0,325.289,5.00996,9.99967,95.8846,0.105668,0.219253
-323.686,0.909995,0.277107,4,15,0,326.194,5.01058,9.99821,97.1308,0.108938,0.237986
-323.994,0.99447,0.277107,4,15,0,324.33,5.00844,9.99798,98.9606,0.110605,0.235295
-323.322,0.946858,0.277107,4,15,0,325.597,5.0243,9.99548,92.3969,0.0995735,0.185637
-323.555,0.997747,0.277107,4,15,0,324.471,5.00649,9.99844,104.861,0.108812,0.226909
-326.104,0.80291,0.277107,4,15,0,327.444,5.02917,9.99662,92.9518,0.0990957,0.162751
-326.594,1,0.277107,4,15,0,328.043,5.01244,9.99929,104.299,0.108463,0.263997
-325.928,0.965633,0.277107,3,7,0,328.321,5.0112,9.99973,101.441,0.107431,0.255274
-325.454,0.928967,0.277107,4,15,0,331.146,5.03362,9.99647,96.348,0.0999801,0.182053
-323.334,1,0.277107,3,7,0,325.58,5.02409,9.99716,93.6752,0.106962,0.194628
-323.488,0.972332,0.277107,4,15,0,324.803,5.01274,9.9991,102.689,0.10112,0.219123
-322.436,0.983689,0.277107,4,15,0,326.903,5.02483,9.99591,97.2871,0.100953,0.20934
-330.297,0.925972,0.277107,3,15,0,330.477,5.03724,9.99401,135.975,0.113568,0.201878
-327.217,0.936663,0.277107,3,7,0,331.399,5.04087,9.9943,121.761,0.110643,0.209136
-324.863,0.947406,0.277107,4,15,0,331.286,5.02103,9.99713,85.9306,0.0976267,0.18404
-324.479,0.995106,0.277107,4,15,0,326.234,5.02345,9.9952,112.272,0.107972,0.231914
-324.616,0.955238,0.277107,4,15,0,327.025,5.00605,9.9973,95.1058,0.0995414,0.171739
-324.461,0.979699,0.277107,4,15,0,325.896,5.02611,9.99453,102.502,0.107713,0.244034
-323.89,0.997582,0.277107,4,15,0,325.784,5.01107,9.99749,96.4867,0.107621,0.245869
-322.317,0.971515,0.277107,4,15,0,324.382,5.01943,9.99657,99.5875,0.104389,0.220117
-324.298,0.930925,0.277107,3,11,0,325.304,5.00686,9.9989,99.3846,0.101373,0.165263
-324.707,0.997325,0.277107,4,15,0,325.186,5.00944,9.99753,99.3236,0.0990784,0.163155
-324.377,0.993279,0.277107,3,7,0,325.512,5.01958,9.99685,100.863,0.0991477,0.165286
-324.288,0.883445,0.277107,4,15,0,326.52,5.02049,9.99673,96.7289,0.108753,0.249314
-326.777,0.870246,0.277107,4,15,0,328.431,4.99261,10.0001,94.2083,0.0955172,0.168684
-324.689,0.637411,0.277107,3,7,0,330.185,4.9953,9.99954,105.04,0.10142,0.176714
-324.48,0.867628,0.277107,4,15,0,327.173,5.02195,9.99779,104.347,0.111185,0.194594
-326.002,0.783076,0.277107,3,7,0,328.141,5.01363,9.99879,106.151,0.115833,0.190776
-325.529,0.986784,0.277107,4,15,0,327.964,5.02881,9.99409,104.859,0.0944023,0.194748
-326.135,0.631233,0.277107,2,3,0,328.653,5.03193,9.99407,100.778,0.0928715,0.191005
-324.078,0.944788,0.277107,3,7,0,327.659,5.02503,9.99634,110.614,0.0977104,0.212818
-329.797,0.426699,0.277107,3,7,0,331.298,5.01041,9.99456,122.555,0.101028,0.222222
-323.495,0.976008,0.277107,3,13,0,329.717,5.01685,9.99538,106.091,0.103247,0.20062
-322.184,0.988796,0.277107,3,15,0,326.417,5.01527,9.99722,100.179,0.102985,0.198681
-324.008,0.836728,0.277107,3,7,0,324.895,5.01175,9.99744,105.403,0.0958028,0.225077
-323.573,1,0.277107,4,15,0,325.509,5.02322,9.99588,95.0067,0.111712,0.206004
-322.732,0.996072,0.277107,4,15,0,324.405,5.01955,9.99635,97.2973,0.0999192,0.22691
-322.893,0.979302,0.277107,4,15,0,323.547,5.00873,9.99781,98.5062,0.107291,0.188954
-327.297,0.931535,0.277107,3,15,0,330.662,5.03192,9.9939,81.1495,0.0961155,0.229267
-326.355,1,0.277107,4,15,0,328.602,4.99949,9.99946,121.504,0.108974,0.184525
-326.658,0.856656,0.277107,3,15,0,331.219,5.04301,9.9935,85.1178,0.102372,0.172725
-326.088,0.941334,0.277107,4,15,0,329.868,5.01248,9.99846,126.336,0.103863,0.18987
-323.756,0.993522,0.277107,4,15,0,327.026,5.00858,9.99926,106.36,0.10938,0.208867
-324.895,0.952146,0.277107,3,15,0,330.017,5.01354,9.99625,98.2283,0.112642,0.179625
-325.479,0.971897,0.277107,4,15,0,328.547,5.01887,9.99544,99.8881,0.0951437,0.245271
-323.628,1,0.277107,3,7,0,326.693,5.02184,9.99707,106.208,0.102794,0.237025
-324.928,0.826017,0.277107,4,15,0,327.446,5.03152,9.99429,91.7805,0.110198,0.174421
-324.071,0.994397,0.277107,4,15,0,327.103,5.00142,9.99934,105.27,0.0986363,0.233475
-326.424,0.901683,0.277107,3,11,0,328.598,5.03258,9.99423,97.0996,0.115653,0.173737
-325.537,0.993526,0.277107,3,7,0,328.149,5.04243,9.99256,99.4802,0.111328,0.183034
-324.892,0.999858,0.277107,4,15,0,326.918,4.98994,10.001,98.5754,0.0992109,0.231385
-323.903,0.983878,0.277107,4,15,0,328.985,5.00478,9.99905,98.5975,0.112143,0.201995
-324.055,0.922882,0.277107,4,15,0,326.399,5.02917,9.99629,96.2888,0.0973069,0.211429
-326.204,0.957285,0.277107,3,7,0,327.55,5.03531,9.99361,94.8893,0.0945412,0.238804
-324.225,0.977092,0.277107,4,15,0,328.84,5.00576,9.99922,84.855,0.100559,0.197972
-324.462,0.897878,0.277107,4,15,0,326.556,5.02611,9.99405,111.549,0.102314,0.218473
-324.317,0.968399,0.277107,4,15,0,325.307,5.00438,9.99733,87.5784,0.105161,0.194978
-323.654,0.998449,0.277107,4,15,0,325.179,5.02455,9.99638,106.851,0.10169,0.178887
-324.332,0.92628,0.277107,4,15,0,326.62,5.01945,9.99537,103.058,0.108215,0.241589
