# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = ppc_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = bad.data.R
# init = 2 (Default)
# random
#   seed = 2178358761
# output
#   file = bad_output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,rep_x.1,rep_x.2,rep_x.3,rep_x.4,rep_x.5,rep_x.6,rep_x.7,rep_x.8,rep_x.9,rep_x.10,rep_x.11,rep_x.12,rep_x.13,rep_x.14,rep_x.15,rep_x.16,rep_x.17,rep_x.18,rep_x.19,rep_x.20,rep_x.21,rep_x.22,rep_x.23,rep_x.24,rep_x.25,rep_x.26,rep_x.27,rep_x.28,rep_x.29,rep_x.30,rep_x.31,rep_x.32,rep_x.33,rep_x.34,rep_x.35,rep_x.36,rep_x.37,rep_x.38,rep_x.39,rep_x.40,rep_x.41,rep_x.42,rep_x.43,rep_x.44,rep_x.45,rep_x.46,rep_x.47,rep_x.48,rep_x.49,rep_x.50,rep_x.51,rep_x.52,rep_x.53,rep_x.54,rep_x.55,rep_x.56,rep_x.57,rep_x.58,rep_x.59,rep_x.60,rep_x.61,rep_x.62,rep_x.63,rep_x.64,rep_x.65,rep_x.66,rep_x.67,rep_x.68,rep_x.69,rep_x.70,rep_x.71,rep_x.72,rep_x.73,rep_x.74,rep_x.75,rep_x.76,rep_x.77,rep_x.78,rep_x.79,rep_x.80,rep_x.81,rep_x.82,rep_x.83,rep_x.84,rep_x.85,rep_x.86,rep_x.87,rep_x.88,rep_x.89,rep_x.90,rep_x.91,rep_x.92,rep_x.93,rep_x.94,rep_x.95,rep_x.96,rep_x.97,rep_x.98,rep_x.99,rep_x.100
# Adaptation terminated
# Step size = 0.761464
# Diagonal elements of inverse mass matrix:
# 0.142336, 0.00457136
-185.822,0.984327,0.761464,3,7,0,186.216,3.6688,3.7725,4.60809,4.25306,2.49595,9.75991,12.6838,1.05034,8.50369,3.77292,0.835122,-4.3294,1.79516,3.13329,0.388857,-3.7946,3.56674,9.70503,1.42795,0.948391,7.42834,7.29986,-4.99638,4.05469,5.00943,1.68458,4.03316,4.49707,6.05687,4.03479,1.47445,-4.72171,8.67608,-2.14795,5.22682,-4.61158,4.29969,1.07061,1.79968,-1.3663,1.45341,6.85465,3.8181,2.47162,5.3275,2.618,4.08996,7.17285,-0.466862,5.70894,5.07047,3.55021,3.0776,2.88808,6.53491,6.75545,0.138442,-1.07685,2.15811,-0.496296,-3.61404,3.90767,6.87854,0.484323,9.29296,2.85997,6.73124,5.51806,10.9675,4.92915,4.01304,7.35022,6.11815,-0.317023,-2.08808,4.75977,5.13863,-1.90821,9.06906,-2.05034,8.46386,1.37394,3.76872,7.21703,5.81652,6.51241,2.89052,-0.972558,-0.991174,-1.15636,4.67536,8.9857,8.75454,10.1072,6.77858,4.106,3.10117,4.65211,3.39026,1.2935,1.80693,-0.299966
-185.728,1,0.761464,2,3,0,185.842,3.6649,3.82212,8.97473,2.92135,10.4145,4.09286,2.42973,4.16691,7.27514,9.14706,5.44127,1.57471,6.99398,2.97355,7.28964,7.3474,0.220282,-0.301486,8.10393,-0.292467,5.50102,1.54534,3.79045,2.67639,10.5263,3.6794,3.45804,3.20537,3.95752,-3.7777,-4.04934,4.03424,6.29476,-3.44982,4.41354,1.03815,0.53792,7.84847,4.56529,-1.1446,8.61295,0.336379,-0.945522,0.434777,6.39934,-3.62959,-8.99918,6.485,6.59771,-0.0908192,5.70451,-1.67446,2.82697,7.32849,7.34722,7.07037,0.0519488,10.8824,4.84926,7.46987,5.33813,3.30763,3.05417,5.7107,-0.514183,2.54206,2.38469,6.41441,5.9987,2.51209,1.55231,9.05241,6.40822,11.3174,4.07455,1.69921,5.42564,5.12568,-1.88496,-1.93168,2.58816,-2.50236,8.3444,7.43137,9.53552,2.58973,-3.16255,4.6831,8.21234,-4.61954,2.86217,11.0659,11.7827,6.64179,2.02968,-1.56236,2.2104,1.45367,14.566,6.83495,1.58296,-1.8942
-185.449,0.991667,0.761464,2,3,0,185.844,3.83533,3.94076,12.4992,3.32652,4.87911,3.01304,5.78482,6.02821,-2.02194,8.9269,9.1613,4.58077,3.51769,1.70201,1.11101,10.0397,4.44083,3.84782,6.5917,1.12545,3.91218,6.7665,4.34305,6.47167,6.18199,4.63894,2.18636,5.79952,0.627893,2.86497,0.338939,5.5681,8.17628,4.39617,2.64178,0.875828,-0.0586965,0.521066,-1.36358,9.97723,2.54743,4.74238,1.76399,3.5924,5.60784,0.61186,4.65657,-1.86809,8.84527,7.54206,4.82952,-5.65821,0.445892,0.733284,2.50004,2.43604,7.96237,14.0844,8.13798,7.93088,3.53555,0.998036,1.43681,6.13578,4.56349,2.65485,5.88474,11.3737,1.64281,2.32212,4.16721,4.37684,3.94509,8.79336,-6.24359,2.25031,8.81462,0.405015,-0.103614,5.74842,-0.37246,4.83054,5.17866,5.68056,0.941766,2.02433,11.2024,6.48988,5.66988,5.49827,8.58655,11.6537,0.82703,0.261829,-1.23615,3.14853,10.1041,0.541207,4.47258,-4.46124,8.26185,10.8295
-186.493,0.858021,0.761464,3,7,0,187.475,4.1757,4.33474,-0.0879664,2.27638,4.12514,9.44905,4.53452,13.7908,11.3802,6.60653,7.22046,-1.03288,5.43405,4.50824,3.80766,-2.30584,3.41982,3.43156,11.3654,10.3506,1.9292,3.17581,-0.317181,5.48802,3.77478,2.64187,14.3832,2.03937,4.23478,10.0159,8.53831,8.98268,-2.10207,10.1185,9.16144,1.77996,2.99113,9.78512,3.34071,2.11473,0.740755,5.79828,6.5287,3.14429,8.28406,-0.94615,4.95221,7.52015,10.0081,8.10667,4.08016,7.5822,-0.975906,-2.25302,5.19147,4.62946,0.238356,2.4075,7.36852,6.00422,7.24892,-4.69715,12.0067,-3.11962,2.25202,2.67459,0.382083,6.18524,7.52895,8.03204,-3.60755,5.73093,0.303376,-0.546962,5.07524,3.36108,3.40957,9.36249,2.83509,3.51092,8.26904,-1.09208,2.69733,3.47951,7.19233,4.10412,5.84142,8.67692,8.31785,1.30073,2.16017,-1.93679,-0.814361,11.573,-0.137275,8.4952,4.81901,0.120159,-3.33648,0.987459,-0.099456,3.17457
-187.783,0.91237,0.761464,2,3,0,188.166,4.332,4.55189,8.50215,-2.5772,1.6301,2.41819,0.077165,2.19323,2.53591,3.98013,12.2599,14.0297,7.80437,1.68585,13.7357,4.23329,7.85091,5.69123,5.71463,0.173342,-0.119849,1.83861,3.84133,12.4566,3.03119,6.39481,-2.23093,5.09829,5.37128,-2.59645,3.31599,2.29728,-0.407607,5.53545,3.95059,8.72108,0.917476,0.0170198,5.07385,2.59807,-1.4828,3.56347,6.79288,7.83467,6.06531,4.62747,3.68517,6.05581,-0.0571417,0.642877,-1.37807,2.54679,5.38579,7.03151,-2.31897,4.849,3.39001,5.6861,-0.723276,-6.13098,4.88141,11.7809,8.29,9.12114,-0.582019,2.14369,1.45192,2.50317,8.60863,1.67835,5.18078,-0.202857,4.8354,6.29975,-1.91362,10.5873,9.61895,3.13988,2.33641,6.62113,12.1422,2.68085,7.84815,4.27713,3.64376,7.67752,2.13793,-2.30884,8.48063,9.99217,4.58823,2.97657,-0.933256,11.8617,2.9457,-0.178354,6.86567,7.1685,3.02379,12.4555,0.146302,1.53312
-186.468,0.987518,0.761464,2,3,0,188.373,4.41209,4.17043,-2.15184,5.35159,9.20909,1.69824,9.07727,3.51374,0.759308,0.684525,4.42674,1.58062,2.35896,10.4957,11.0525,-3.12724,-1.20615,1.79657,-3.36897,2.61406,3.84267,2.90765,7.97076,8.43153,7.72235,4.3231,13.729,3.20837,1.46399,7.46224,7.24777,5.23873,7.04075,3.17671,5.25275,-1.59486,6.98203,9.24013,9.6978,5.41623,4.40217,2.30885,2.63886,-3.53344,9.21873,6.40818,8.58794,-0.58768,9.3013,6.56603,5.76691,5.50403,6.42493,6.63294,8.11239,4.3473,-0.00779532,12.8594,9.21863,4.18275,9.7849,8.27866,5.54435,0.589049,9.40795,4.93057,1.1927,0.69003,5.24878,8.78412,3.78723,-2.05042,-0.866422,-4.81098,2.28478,6.11959,6.55855,4.90456,13.9437,6.72838,2.65373,6.7454,0.723828,2.18614,3.55399,9.6292,0.743915,6.08217,6.29621,6.32016,6.73217,2.35181,0.329453,3.6203,5.32617,10.291,5.92212,0.953302,5.3662,1.83059,-0.958839,10.1051
