# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=773284915
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=bad_result_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,rep_x.1,rep_x.2,rep_x.3,rep_x.4,rep_x.5,rep_x.6,rep_x.7,rep_x.8,rep_x.9,rep_x.10,rep_x.11,rep_x.12,rep_x.13,rep_x.14,rep_x.15,rep_x.16,rep_x.17,rep_x.18,rep_x.19,rep_x.20,rep_x.21,rep_x.22,rep_x.23,rep_x.24,rep_x.25,rep_x.26,rep_x.27,rep_x.28,rep_x.29,rep_x.30,rep_x.31,rep_x.32,rep_x.33,rep_x.34,rep_x.35,rep_x.36,rep_x.37,rep_x.38,rep_x.39,rep_x.40,rep_x.41,rep_x.42,rep_x.43,rep_x.44,rep_x.45,rep_x.46,rep_x.47,rep_x.48,rep_x.49,rep_x.50,rep_x.51,rep_x.52,rep_x.53,rep_x.54,rep_x.55,rep_x.56,rep_x.57,rep_x.58,rep_x.59,rep_x.60,rep_x.61,rep_x.62,rep_x.63,rep_x.64,rep_x.65,rep_x.66,rep_x.67,rep_x.68,rep_x.69,rep_x.70,rep_x.71,rep_x.72,rep_x.73,rep_x.74,rep_x.75,rep_x.76,rep_x.77,rep_x.78,rep_x.79,rep_x.80,rep_x.81,rep_x.82,rep_x.83,rep_x.84,rep_x.85,rep_x.86,rep_x.87,rep_x.88,rep_x.89,rep_x.90,rep_x.91,rep_x.92,rep_x.93,rep_x.94,rep_x.95,rep_x.96,rep_x.97,rep_x.98,rep_x.99,rep_x.100
-760.982,1,0.015625,4,15,0,2023.18,1.11184,1.25473,2.23349,1.35176,-0.266264,1.55781,-1.04548,0.962166,0.343086,0.806517,0.430904,2.38215,2.31094,1.09665,0.591051,1.57088,0.268189,0.20594,2.3795,2.14891,0.817567,1.26391,1.55679,0.835964,1.43233,1.96401,3.09154,-0.25659,2.26768,-0.375855,0.264774,1.67152,0.0967462,0.525472,0.903985,1.16735,1.88734,0.741745,1.33829,-0.757204,0.842414,2.86339,0.589542,2.2115,-0.203083,1.9923,0.637755,-0.307158,3.14468,0.605846,0.453617,2.77456,0.195964,3.06921,0.803618,0.312952,1.6441,1.49059,2.39733,1.73495,0.427408,-0.156854,-1.29781,0.664966,0.395536,1.00632,0.703248,0.244909,1.95395,0.180283,-0.0763388,4.5673,0.676401,2.8332,0.142764,1.27374,0.7425,3.09835,2.34311,1.57025,1.56205,1.89498,1.41864,2.2085,0.624577,1.36016,0.0253624,-1.00075,0.227835,-0.588173,-0.661881,0.81882,3.14917,1.2243,-0.744093,2.62025,1.67599,1.99981,0.360488,0.849845,1.01588,1.6429
-760.982,0,14.3855,0,1,1,761.069,1.11184,1.25473,-0.0921366,0.786727,-1.55094,0.619639,-1.17649,0.38349,-0.204336,0.471962,0.321821,0.946097,3.42249,0.772894,0.329114,0.759884,1.81419,0.0856668,-0.186928,1.79336,3.31228,0.454103,0.511325,1.31805,0.99824,0.807232,2.92513,2.66038,1.28994,1.3499,2.35449,0.0685703,1.31596,1.20576,2.75464,-0.735074,2.32183,0.61461,1.18943,1.74547,0.635484,-0.99119,-1.21267,1.5975,1.77998,3.88205,2.09539,2.71065,-0.25991,2.89664,0.860908,1.06905,0.670029,2.45333,-2.57235,0.736049,1.98087,1.26835,1.02492,1.02237,1.08024,-1.178,2.49274,0.786158,0.811467,2.3341,0.280927,-0.233972,0.514891,3.0298,-0.244473,0.666862,1.32092,-0.835024,1.26797,0.98799,1.95699,1.89368,1.41541,4.16336,0.355464,1.7909,1.28848,0.727043,-0.685909,0.699006,1.69549,1.90565,1.84367,1.74091,2.76132,-0.15174,2.01693,3.54623,1.01593,1.912,-3.8103,-0.0621971,1.59302,1.58796,2.9274,0.5468
-760.982,0,2.43117,0,1,1,762.027,1.11184,1.25473,1.65136,0.250376,0.626967,-0.845343,0.18558,0.893339,1.30102,2.78785,-0.282208,3.76508,-2.0979,2.17069,0.782337,1.28169,0.994062,0.831305,-1.30287,3.54007,1.87523,1.75697,-0.516219,1.51337,-0.362871,1.05602,0.746725,1.8624,0.778726,1.90047,0.605705,1.01104,3.0397,2.65329,1.57925,3.05956,5.17665,-0.297239,0.333865,2.76932,-1.10408,3.41338,1.87588,0.197742,0.227892,0.321855,2.21373,0.23441,2.36679,0.455916,-0.329604,4.22504,0.623159,3.71891,1.3304,2.53352,-0.291253,1.74698,1.28414,1.99373,-0.6609,0.470705,-0.0127307,0.317175,0.671576,0.11283,2.19495,1.25821,1.18107,1.49814,0.994235,0.877805,2.33092,1.09493,1.18509,-1.58343,2.67645,0.429419,-0.490831,0.66268,2.41782,2.23212,-0.486467,0.463197,-0.187918,1.29631,2.48978,-0.398782,4.12769,0.570472,1.14412,0.94136,-0.525562,0.0158604,-0.156748,-0.185962,0.760871,1.63763,0.79851,1.90391,0.272276,0.0640601
-760.982,0,0.239791,0,1,1,761.19,1.11184,1.25473,-2.2037,2.65497,-1.30936,2.08785,0.902054,0.111878,1.35479,2.40042,-0.261554,0.537918,-0.674553,1.15717,-2.17773,1.15334,1.60394,0.747667,0.410656,1.00905,0.216969,1.83534,0.597921,3.18307,0.542123,0.456228,3.64832,1.46284,0.650286,0.0720329,0.242063,-0.0661125,1.13694,3.12489,1.42448,1.39056,-0.426972,3.3102,1.48831,1.14541,1.2032,0.0549802,0.546488,1.85073,1.57793,0.326213,-0.680586,-0.609761,-0.0621786,1.39421,1.73625,1.28664,0.999103,0.150304,0.172052,0.44274,0.148347,0.929244,0.463435,1.53892,3.45202,1.95929,1.15524,3.00684,2.75076,2.48062,1.52925,1.75682,0.198533,0.806328,-0.314372,-1.04692,0.215462,1.44524,1.46518,0.721521,0.722253,2.84789,-1.29549,2.00396,-0.546687,1.46432,0.296686,0.694009,3.3665,3.49735,1.2953,2.87147,2.75309,-1.46612,1.9729,2.2066,2.39941,-0.600151,1.9253,-0.0612999,1.63072,1.73618,2.33989,-0.59784,2.06724,0.76102
-514.294,1,0.0186273,1,1,0,713.737,1.1554,1.56467,0.580161,0.385552,-1.816,2.50953,2.16689,-0.0422984,0.783315,0.608987,1.06979,-0.438328,0.64146,0.876795,1.62366,0.690529,2.65786,-0.228456,-0.641023,1.57261,3.10493,2.30255,2.74159,2.06737,-0.24372,-1.09848,2.75148,0.798183,1.15958,0.0529466,-1.44456,-0.645441,-1.63879,3.18696,4.37822,0.307189,2.16919,1.83176,1.26715,-2.16284,-0.580037,1.78285,0.258918,2.63547,1.70418,-0.336767,0.368432,1.78916,2.3609,-0.949911,1.0045,2.59261,5.23389,1.37629,1.85311,0.655918,0.0408263,3.30437,4.4027,1.26409,-2.25899,3.34191,-0.741992,2.30958,1.6581,0.0904784,1.70875,1.35444,0.202937,3.99948,1.89256,0.449619,2.29198,2.35492,-0.205089,-0.499649,1.50069,3.63421,2.44652,5.50541,-0.807485,0.477682,2.01712,0.70559,2.21143,0.856997,3.42764,2.47553,3.34671,-0.680421,0.284544,2.20903,0.924872,1.38747,3.58128,2.71597,2.29423,0.726319,0.0860165,2.14471,-0.157313,2.27903
-349.919,1,0.0257257,1,1,0,477.535,1.17535,2.02151,0.900871,-0.706747,2.02593,2.10229,-1.82991,1.06033,1.27385,-1.58717,-1.97256,3.63702,1.71531,0.0805078,2.2599,-2.90859,3.96918,-0.607717,-0.58901,0.496117,0.197077,-1.13468,1.34283,-1.48401,1.0144,-1.64744,-0.0049791,-0.563459,1.31491,-2.57949,1.58385,1.75602,-6.32137,1.71644,4.44797,-0.277622,5.25937,2.81042,-0.177601,1.90083,3.90667,0.864838,2.58024,1.71896,-1.13434,4.50912,3.53888,-0.0655486,-2.64071,1.59149,2.54806,1.72838,-0.259714,2.60653,0.818654,-0.99147,2.58312,-0.457825,1.32483,-1.51311,-0.755887,-3.26844,0.845117,-1.57203,1.52087,0.292621,-3.33829,0.786276,1.114,3.14444,0.769358,-2.0719,2.34371,7.03998,0.883586,1.57685,0.544361,0.509944,-2.91316,3.55345,3.20595,0.85852,0.751672,-1.78214,-1.35458,-2.56968,-2.525,-1.26939,1.70442,0.552345,1.25836,-0.559712,2.18192,2.22316,1.26852,6.60033,4.57783,-0.313952,-1.72332,1.25938,3.39705,1.7358
-244.621,1,0.0404064,1,1,0,318.86,1.25158,2.81215,4.94448,-1.15735,2.27263,2.72044,8.72124,5.21678,2.66341,2.47184,1.51932,6.25749,1.84866,4.26616,-2.28185,3.50885,5.40803,0.168867,-1.44746,11.3812,1.19757,-1.45328,1.21518,1.51185,2.37419,2.33897,3.06795,6.58124,4.15721,4.96801,6.43945,0.122592,-0.319489,-5.00448,2.6363,2.0012,-0.022449,-2.51132,1.91046,-1.65742,4.61611,1.11367,2.21683,-3.46976,2.82532,1.48484,1.34382,0.275983,5.58263,2.38037,-1.38006,2.09991,2.73571,0.93958,1.08129,6.26168,2.35839,3.507,-0.105022,-0.897577,-1.48211,-0.218622,0.0590994,6.53823,2.9463,0.683197,0.190572,-0.352304,0.0825021,0.0849702,2.33949,2.81568,1.74562,-3.24501,3.98772,3.17789,0.0268799,4.13894,5.49255,4.04284,1.25753,4.86736,1.67909,2.42461,0.844408,3.17204,1.2143,2.65265,4.02537,1.73363,2.35585,5.41346,7.64942,-4.12505,7.49271,7.39823,2.81049,-2.20619,-1.54626,-3.07029,4.78628,-2.69583
-206.387,1,0.0687243,3,11,0,231.403,2.98924,2.7783,0.267402,1.83128,4.43398,3.29265,2.76795,5.34409,-0.666706,4.32194,2.24847,6.05469,3.58896,0.636174,4.44955,0.457941,6.47471,8.9728,3.22053,8.14398,5.31084,0.889296,2.16282,3.7839,2.73332,0.840631,9.26677,-0.887467,4.46222,1.87451,5.15367,5.71963,-1.70776,4.59189,-3.89672,0.550703,4.56504,7.93525,3.68394,2.52465,-1.45993,1.89771,4.54502,6.03824,2.30389,5.08179,4.58459,4.93936,5.45158,4.84448,1.9769,4.68209,3.07437,-2.22184,-2.76906,-0.0250254,4.50876,4.1517,5.44222,4.8008,4.74411,0.494208,8.43871,7.89512,1.1249,1.97432,7.96465,-0.651543,4.63284,1.62529,2.17241,-0.963411,1.58517,4.25662,2.32291,0.510964,3.99855,4.04383,6.04355,1.50255,3.59199,4.29669,-0.287491,3.5978,-0.353359,4.74182,2.12926,1.48648,1.70289,3.5009,4.96653,3.23859,2.67899,4.9269,5.55765,3.06481,-1.54369,1.36416,5.20532,1.46039,7.65203,4.09611
-196.28,1,0.122801,1,1,0,200.208,3.03534,5.56136,6.35109,1.15946,6.06698,1.00948,0.897964,13.1777,3.55154,0.820375,12.082,2.28182,-4.91886,-1.54781,0.686438,1.31886,1.69147,7.05123,5.25539,2.93667,6.1228,5.22943,-4.48824,-1.0773,4.34167,0.679369,5.02424,3.62401,3.14889,3.72686,-4.07726,11.9754,5.10614,0.668619,11.4101,12.0127,5.19867,5.86683,-6.39698,-2.29825,6.1614,13.2717,15.1057,-4.246,0.188914,6.01626,1.41244,13.8632,4.07421,1.57912,3.56011,-5.20161,-4.34947,-7.88249,7.22726,-1.986,6.79329,-0.394185,-8.95441,10.056,10.745,-4.46451,12.8235,2.87477,10.1419,-6.38299,9.51158,6.16422,-6.96498,-0.82669,-4.60388,1.31826,10.9166,6.85171,9.99522,6.53724,12.6387,4.25826,4.35825,5.74022,13.8665,-1.32044,8.21319,2.10319,-3.91948,-4.88903,7.03597,-0.409057,10.4538,-0.0417289,-1.33152,5.40302,8.87573,0.717232,0.0206008,0.154572,0.89437,5.80874,-0.291225,3.78562,5.15718,-4.57818
-196.28,0,0.226075,0,1,1,200.338,3.03534,5.56136,6.73643,5.09062,5.46724,8.39595,6.64863,0.123064,0.487396,-3.65844,-0.774155,10.5789,2.43433,6.89499,9.42238,6.00274,18.6092,3.49748,-2.28445,7.107,5.32236,-5.1524,6.39479,7.65725,-4.0075,9.7134,0.501797,-0.111754,2.29461,2.84728,1.00051,0.304441,3.26487,-0.0624999,1.54719,5.54102,4.45518,5.50257,-5.232,12.2068,8.51846,-4.498,13.4125,1.42302,13.2552,7.44359,-0.531279,-0.163377,7.7496,3.91708,3.58812,0.461186,1.77091,-0.168658,2.42098,-2.89944,-8.26948,9.99046,-0.945323,10.2305,9.06843,-1.09403,4.11514,-0.309414,8.20975,6.18939,7.57688,10.1379,-0.696646,4.8265,8.64273,2.61503,7.56997,11.7893,-2.5696,6.69929,0.0306174,3.8056,1.58825,2.36209,-0.777501,9.01275,3.52477,6.78672,-2.14321,3.92347,-11.2205,5.35382,-4.52048,8.27511,-1.08932,-1.2682,3.78256,-3.58274,-0.78614,-3.74444,8.88527,-3.85524,3.84154,-3.16976,2.40923,-3.85432
