# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = ppc_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = good.data.R
# init = 2 (Default)
# random
#   seed = 2178358854
# output
#   file = good_output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,rep_x.1,rep_x.2,rep_x.3,rep_x.4,rep_x.5,rep_x.6,rep_x.7,rep_x.8,rep_x.9,rep_x.10,rep_x.11,rep_x.12,rep_x.13,rep_x.14,rep_x.15,rep_x.16,rep_x.17,rep_x.18,rep_x.19,rep_x.20,rep_x.21,rep_x.22,rep_x.23,rep_x.24,rep_x.25,rep_x.26,rep_x.27,rep_x.28,rep_x.29,rep_x.30,rep_x.31,rep_x.32,rep_x.33,rep_x.34,rep_x.35,rep_x.36,rep_x.37,rep_x.38,rep_x.39,rep_x.40,rep_x.41,rep_x.42,rep_x.43,rep_x.44,rep_x.45,rep_x.46,rep_x.47,rep_x.48,rep_x.49,rep_x.50,rep_x.51,rep_x.52,rep_x.53,rep_x.54,rep_x.55,rep_x.56,rep_x.57,rep_x.58,rep_x.59,rep_x.60,rep_x.61,rep_x.62,rep_x.63,rep_x.64,rep_x.65,rep_x.66,rep_x.67,rep_x.68,rep_x.69,rep_x.70,rep_x.71,rep_x.72,rep_x.73,rep_x.74,rep_x.75,rep_x.76,rep_x.77,rep_x.78,rep_x.79,rep_x.80,rep_x.81,rep_x.82,rep_x.83,rep_x.84,rep_x.85,rep_x.86,rep_x.87,rep_x.88,rep_x.89,rep_x.90,rep_x.91,rep_x.92,rep_x.93,rep_x.94,rep_x.95,rep_x.96,rep_x.97,rep_x.98,rep_x.99,rep_x.100
# Adaptation terminated
# Step size = 0.935489
# Diagonal elements of inverse mass matrix:
# 0.0268994, 0.00384821
-109.065,0.865586,0.935489,2,3,0,109.892,3.10687,2.09898,-1.28966,1.47491,0.344683,1.56818,4.42335,1.93862,1.81601,5.81582,1.34056,0.383117,0.73007,4.98625,0.28065,3.38533,-1.27291,5.8704,3.65974,2.91477,3.8056,3.98773,1.52945,1.54813,5.61721,2.67307,2.08619,2.33804,1.6541,4.8109,4.73569,2.93535,0.777548,-0.194606,3.07516,0.259991,1.38554,3.91591,2.47085,3.30561,2.96531,4.97458,1.46219,1.02649,2.92307,3.93658,4.539,6.79251,7.68386,1.31897,3.12468,-1.44527,6.13638,4.30048,7.91543,5.10575,1.6379,5.55177,4.78437,4.10425,1.39137,5.23775,2.16828,6.07601,0.315353,5.35185,6.02057,1.24395,4.75037,6.53509,5.05205,2.64311,2.79891,2.90327,-0.274078,-0.471984,4.42647,3.72837,2.84978,3.8893,4.99351,3.89123,3.06705,1.19625,3.2714,1.74598,2.96206,6.55683,2.67464,-0.531322,3.60809,6.97778,2.7417,4.32316,4.70542,2.17573,-0.188455,3.70515,0.675081,4.11366,3.05375,0.880517
-108.522,1,0.935489,2,3,0,109.18,3.04082,2.05035,1.42435,5.19173,2.6966,1.04732,-2.02834,3.51635,3.64613,5.6351,2.40085,0.452361,2.37369,5.93931,2.99148,4.6591,6.19396,3.81316,4.94833,1.92377,5.0673,2.96575,0.49256,2.34301,4.02941,-0.115343,1.51442,2.82206,1.78656,5.90487,6.9103,1.79157,3.56047,3.77658,5.05539,3.0835,1.29905,2.71858,-0.271938,2.75749,6.14068,4.46579,4.79162,4.13905,3.26098,0.975241,2.70908,2.62246,-1.5036,6.31113,3.62736,5.16174,3.31665,4.21259,1.98641,3.36341,4.64506,6.31954,4.90507,7.90283,4.5126,0.58513,1.3907,5.51305,6.90226,4.23406,0.792473,4.58262,6.16307,4.66701,3.28587,3.92094,2.09883,5.99871,3.91621,1.6025,1.76126,4.91285,5.85062,1.22451,0.704125,1.85018,6.03545,2.98579,3.37075,1.48426,-1.85935,6.3172,2.88111,3.86328,5.16412,1.36237,7.68435,4.42718,1.33711,3.56525,4.23554,-0.0605147,4.53954,4.93029,7.86968,2.80059
-108.258,0.939196,0.935489,4,23,0,110.303,3.29861,1.61205,5.80587,3.12882,0.575009,3.18213,2.18012,-1.48721,1.9471,4.08939,4.15077,1.93382,6.71886,3.60038,1.19049,3.35875,0.960064,2.81858,3.29544,4.90525,6.25334,2.95268,3.64689,6.2448,0.962185,2.75367,2.51215,3.24866,5.58041,4.4331,1.60993,3.03467,4.14879,4.64729,1.0096,3.98421,2.23273,1.34288,4.65353,1.24537,3.03938,2.80378,1.12038,2.58913,3.02554,1.63541,-0.143089,0.0515682,3.32561,3.871,3.22866,4.79027,5.95948,3.58741,2.48564,3.2242,2.36267,4.08258,5.465,2.85189,3.23236,3.95951,6.2729,2.1858,1.16028,5.58773,3.48619,3.24461,2.38347,3.25713,4.01928,4.7654,5.11037,5.38942,6.63792,0.538983,1.23769,1.93266,4.62764,5.21519,1.59368,4.1429,0.0518608,1.13757,4.9883,4.96636,0.276784,3.06861,2.75349,5.82236,4.59632,1.16828,4.89713,0.808247,4.00525,5.98926,2.65111,0.26851,3.64622,2.82201,3.97337,2.54366
-107.234,0.977606,0.935489,2,3,0,108.889,3.02743,1.66449,3.51136,4.41969,3.78925,3.15499,3.93867,1.30363,0.993341,2.32154,3.26141,4.85737,5.7859,3.7508,5.25456,3.9011,2.86361,0.131534,4.46758,1.85512,4.28327,2.85845,6.73712,4.12083,2.42465,3.08886,3.75349,1.20687,2.24901,-1.70099,2.03316,3.43342,1.60091,2.43272,1.39998,1.15602,2.8501,2.54811,5.21646,6.37542,2.91662,4.79766,2.65207,3.15645,2.06334,5.50685,4.26028,3.08881,2.53131,1.29503,5.48961,2.00614,-1.20526,4.4563,5.44889,3.83423,4.1364,5.31728,3.63604,5.29112,3.45362,2.96639,2.74567,3.44758,1.69318,4.01662,3.32665,5.10786,1.38065,1.57339,3.22889,1.09607,1.26626,1.93662,1.62571,5.40708,1.20362,3.24282,3.63254,7.05291,4.99179,4.16801,2.36071,5.29362,4.26291,1.69411,4.39096,2.50797,5.59481,0.183923,3.71517,4.62304,2.61365,1.46528,7.24045,4.77072,3.56441,2.44516,0.937537,3.78977,-0.391136,2.48806
-108.788,0.837341,0.935489,3,7,0,108.972,2.96424,1.57051,3.3179,0.144908,0.97149,3.68918,3.79593,-3.21709,3.97439,2.41079,6.83282,2.91799,4.36943,3.36821,2.67514,1.84665,1.56865,4.10448,2.16721,2.18517,0.15509,0.0884539,1.94768,3.70506,2.31586,2.60729,5.90787,0.93949,2.90648,0.552334,4.82218,3.88123,2.73865,3.14741,2.17507,0.0933561,3.85965,3.39166,3.624,5.07994,6.2351,5.73504,3.28477,5.3382,2.14601,5.83852,3.4186,2.82151,2.69441,4.30345,3.00327,2.98456,1.49415,1.662,4.6076,2.40231,1.79222,4.43535,4.6675,3.67495,5.00011,2.63693,2.918,2.81253,3.3966,4.13161,3.66957,3.51768,1.40165,4.7249,3.04285,4.1064,5.39031,-0.344379,4.79667,5.8998,3.75269,0.576453,1.14684,1.90672,3.31795,5.08735,2.43874,2.86594,2.74342,5.30303,1.95591,2.68408,2.26162,0.658141,2.45567,2.85824,0.693804,0.570207,1.611,2.34331,3.83362,3.13039,3.82995,2.57344,0.12846,3.65435
-108.237,1,0.935489,2,7,0,108.68,3.30114,1.99411,2.29125,3.52375,4.02726,1.62269,3.28011,2.25857,1.07127,4.24076,3.46898,2.73167,4.5434,0.166286,4.45161,6.80912,0.637225,5.40539,5.35363,4.22423,7.33921,3.88763,6.33927,3.90622,1.86788,3.50452,6.92048,7.33914,2.78805,2.61844,3.36442,2.39667,7.50375,1.39096,4.49881,3.94209,3.28124,5.67817,-0.212563,6.86637,4.74902,3.46772,2.70211,1.5387,3.91569,0.598376,3.62007,4.41478,4.43924,1.80094,6.39952,1.88672,3.09914,2.5946,0.297634,3.26364,1.37608,3.11379,0.792055,2.71043,3.9167,5.17921,2.47561,4.32065,2.91611,2.59911,3.37035,3.04123,6.10237,6.44096,3.14295,4.71886,4.54465,1.92684,-1.0548,-0.106909,3.58031,4.2937,3.73183,4.97064,6.23161,0.88359,2.57719,5.17341,2.37161,0.344712,5.86649,3.05736,2.65714,-1.18774,3.75836,3.03005,2.24467,5.48784,1.28874,6.00181,2.38374,0.382036,1.86736,5.68751,3.22909,5.10054
