# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=966824467
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=good_result_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma,rep_x.1,rep_x.2,rep_x.3,rep_x.4,rep_x.5,rep_x.6,rep_x.7,rep_x.8,rep_x.9,rep_x.10,rep_x.11,rep_x.12,rep_x.13,rep_x.14,rep_x.15,rep_x.16,rep_x.17,rep_x.18,rep_x.19,rep_x.20,rep_x.21,rep_x.22,rep_x.23,rep_x.24,rep_x.25,rep_x.26,rep_x.27,rep_x.28,rep_x.29,rep_x.30,rep_x.31,rep_x.32,rep_x.33,rep_x.34,rep_x.35,rep_x.36,rep_x.37,rep_x.38,rep_x.39,rep_x.40,rep_x.41,rep_x.42,rep_x.43,rep_x.44,rep_x.45,rep_x.46,rep_x.47,rep_x.48,rep_x.49,rep_x.50,rep_x.51,rep_x.52,rep_x.53,rep_x.54,rep_x.55,rep_x.56,rep_x.57,rep_x.58,rep_x.59,rep_x.60,rep_x.61,rep_x.62,rep_x.63,rep_x.64,rep_x.65,rep_x.66,rep_x.67,rep_x.68,rep_x.69,rep_x.70,rep_x.71,rep_x.72,rep_x.73,rep_x.74,rep_x.75,rep_x.76,rep_x.77,rep_x.78,rep_x.79,rep_x.80,rep_x.81,rep_x.82,rep_x.83,rep_x.84,rep_x.85,rep_x.86,rep_x.87,rep_x.88,rep_x.89,rep_x.90,rep_x.91,rep_x.92,rep_x.93,rep_x.94,rep_x.95,rep_x.96,rep_x.97,rep_x.98,rep_x.99,rep_x.100
-194.013,0.999395,0.0625,2,3,0,194.541,-0.720667,4.72523,-4.06063,9.02066,-6.38289,-5.59505,-5.45132,2.61472,-1.07635,-3.45537,-2.59547,-0.64581,-7.36655,4.89845,-1.37402,-7.68577,6.27837,2.8437,1.17594,-3.32303,-0.231787,4.47428,2.95354,4.82485,-8.77936,-3.84303,8.1096,-6.07079,-2.46318,1.18804,2.24018,2.00759,-5.62001,-7.50117,6.0752,-0.701415,-3.54867,-6.07398,3.60249,-5.84066,1.87614,-7.31831,3.47514,-0.286651,-2.25005,-2.01611,-2.27376,-6.55429,5.58945,-1.63466,2.26539,1.28796,2.01781,8.66873,4.24584,5.37389,-3.84563,3.27556,-2.73218,2.56878,-4.01579,4.19865,-8.25573,-1.38092,-4.1914,-5.63509,-5.13377,-11.669,-0.633163,-6.82831,-9.40335,-3.09954,2.85859,-2.16608,-2.80283,-6.89703,-1.55803,-3.07358,5.40775,-2.18689,-6.52142,-8.08302,-1.2989,-5.69099,0.688962,-7.1243,-8.87059,1.46385,-7.35605,4.78795,-4.21926,-6.62929,6.1922,-5.04004,0.921089,-0.903576,10.3478,-1.58378,-4.38371,1.24746,3.69407,-0.0657681
-194.013,0,14.3697,0,1,1,194.176,-0.720667,4.72523,-3.86534,6.4859,-6.29041,0.404336,-6.54314,4.37032,-0.791475,6.88415,-1.69807,5.89364,3.77126,5.64706,-3.66095,-0.074741,-9.65814,0.365965,0.13476,0.492188,-8.79204,1.73022,-4.23462,4.99414,-2.71316,-1.9253,-10.1673,-9.51579,-1.5093,-5.20439,-6.34084,-0.37483,-8.42284,7.32695,3.14012,0.870438,-4.28366,-3.78772,-9.64298,-6.88629,10.443,6.61434,-5.24379,-4.06156,6.40921,-3.65599,-4.13343,-1.43834,1.09299,3.38133,1.86566,3.63509,-12.541,2.7194,5.14973,-0.657116,-1.64377,5.55456,-0.169739,7.89676,-4.86974,1.97079,-4.50745,-7.81336,1.4259,3.03342,-9.41465,-4.72641,-1.6708,6.21412,-1.86206,-4.92255,7.85191,6.97583,1.05536,-10.1352,-10.5338,-3.98853,4.17708,-3.84029,4.09102,4.50736,-7.8421,-0.0383131,-3.33514,-5.64347,7.64084,9.17478,-3.81286,4.27287,0.515894,-0.630993,-1.22276,-1.20012,-4.78251,-1.67658,-1.70355,3.50763,-4.91166,-8.04436,-0.22966,0.944716
-194.013,0,2.4277,0,1,1,194.343,-0.720667,4.72523,-0.577851,-0.386974,-5.41861,3.91123,-6.1739,-6.1344,-6.20639,-4.13041,-2.98635,-11.293,-0.696086,-6.12039,1.65584,-1.64627,-2.37086,2.72774,8.14034,-1.68339,-6.26313,-3.46953,-5.71157,2.98912,-3.72681,-0.474819,1.4914,1.12393,0.324277,-1.54771,0.583595,4.20969,10.8954,-10.3221,-5.72944,2.57239,-7.48151,-1.93086,-6.10421,3.32661,-4.03358,-1.82158,2.41764,-6.46225,2.46902,2.13666,3.13412,-6.06435,1.51365,5.84024,6.90121,5.65852,-0.448261,-0.721707,7.48658,-1.97023,-8.87176,-3.21317,1.32408,-0.449774,-3.5765,2.2164,-2.48565,0.494284,12.2721,-7.65263,-0.0915373,-10.166,-5.95818,5.28183,9.41606,-2.17104,2.53339,-7.45758,-2.73185,-2.90989,3.0342,4.46158,3.68122,2.07517,-2.45336,-1.446,4.52535,0.363564,-5.52899,3.37035,13.0804,-0.312606,4.54828,0.0129051,2.41237,-6.85064,-2.87584,0.897039,-6.87931,5.16064,-3.39319,-2.18804,2.04184,4.08024,11.3949,1.43013
-194.013,4.30904e-44,0.239405,1,1,0,194.125,-0.720667,4.72523,1.09705,-1.76521,1.58932,2.5252,1.98473,-7.30911,-0.751365,-6.54554,5.92578,6.19531,-2.63123,-7.95901,14.4007,1.98235,-5.83939,-5.63143,-4.23404,8.56095,1.26681,-0.583844,8.64829,4.70739,0.904187,-1.55695,0.86102,4.35302,-8.47559,-4.91292,-0.923622,5.74287,-7.18331,-3.266,-1.68061,0.310469,-4.20125,-0.748357,5.26951,-0.792602,-3.31413,2.64244,3.66451,-4.06122,-13.3417,-8.84399,0.267544,-3.01903,7.83868,-10.2091,-2.38701,3.20312,-0.916253,1.64517,-0.537394,9.75485,-5.34437,1.75281,-3.07372,-6.13388,8.34682,0.521892,0.782634,11.7996,-4.65603,-4.31798,5.77228,2.60728,-3.99275,1.76491,3.06454,-1.46783,1.48596,-3.56561,0.211569,-4.09291,1.84211,2.85434,0.648804,-4.62628,7.9762,1.89011,-13.5321,-3.58839,6.29148,6.28696,2.63207,-6.53775,-4.99587,-4.19275,-3.02809,-0.627027,8.12386,-12.6818,3.60626,5.32212,0.577668,-1.2526,-7.78429,-8.17099,-2.25392,5.42472
-191.8,0.997304,0.0185951,4,15,0,194.589,-0.615671,4.63027,-0.747925,-0.327858,-2.16161,4.6916,-5.67725,-1.82467,-1.3717,-3.73068,2.05358,1.67249,6.32971,-4.98616,-3.72832,8.86712,-3.07386,3.15685,-7.58482,10.9147,-2.97888,6.25824,-3.38676,-1.9623,-1.45872,-4.47149,-4.36914,-1.33781,0.775382,1.77967,7.2018,-1.52893,3.59138,-1.86525,-1.83605,-2.08999,4.25423,-3.92437,-3.76817,2.83383,2.83389,-2.96266,2.39159,9.40396,-3.29214,2.5776,2.53863,3.0975,3.89848,-0.715908,0.83642,0.377129,-3.72897,3.68587,10.7472,6.69852,-2.02022,4.09879,-4.12328,-2.02613,-7.18155,3.89247,-1.47562,4.18917,-6.97814,3.0907,-3.90086,-0.684607,-5.07598,0.745991,-2.72595,-5.76208,-1.2932,-0.216607,-3.22111,-7.26571,0.0986164,14.3702,2.21915,6.84128,-1.22238,7.77806,-6.10368,0.153771,0.730014,0.592125,2.35642,-4.28046,-7.99613,-5.36448,2.03404,1.04577,-0.761178,-0.447457,1.65804,1.91921,6.3351,-11.344,-7.14725,-0.719637,-1.64817,-5.82877
-191.298,0.955758,0.0254738,4,15,0,195.757,-0.50123,3.42334,-2.06443,7.62702,1.72121,2.9527,-3.24763,-0.164069,0.867671,3.57444,-8.71605,2.69962,4.67089,0.257746,-5.65014,-1.20918,-0.512467,-0.192911,1.70285,-8.62631,-1.12819,-0.272898,0.355531,-3.51472,0.566274,3.13455,-1.65869,1.64838,-3.80644,-1.59646,2.70397,-6.77909,0.682178,-8.25632,-4.79508,2.1603,0.20227,6.11721,0.0546558,-6.71777,4.97901,6.62183,2.64843,-0.755576,2.06988,-0.193478,-0.528683,-9.12876,-6.12913,-2.0748,1.92147,-4.54735,-3.69472,-6.85098,-2.43461,3.25801,1.66402,3.14226,-2.08939,2.89086,0.375922,-2.63749,2.12846,-6.08879,1.0955,-2.77997,-2.07456,-3.65707,2.06328,-4.34276,-0.448404,-0.469575,2.67336,2.86204,-3.07709,-0.919583,-6.49541,-0.460784,2.35055,2.99526,6.53364,-0.673777,-2.51053,-1.38176,-3.99226,-6.11343,1.68471,1.32505,3.21088,-1.09142,6.21187,-7.06818,0.425589,6.41161,3.13551,-0.141321,-4.10923,2.82576,-0.599357,-0.0337732,-3.49204,-4.78283
-190.634,0.985521,0.0349325,2,3,0,192.627,-0.530434,3.5795,-3.69416,-1.41201,2.10956,6.73862,-6.38683,-5.03543,-2.45895,-1.32115,1.43338,-2.03377,-5.27857,-0.419639,4.88588,4.44213,-0.634835,5.96957,2.47397,-0.77675,-0.138307,1.80106,-6.32648,3.66618,-1.42374,-0.0266166,-1.73888,-0.244505,0.322815,-1.84403,-3.3819,-6.16441,-1.30082,-3.76349,-8.07589,-0.600266,-0.905214,1.93623,-5.2762,2.13037,3.84934,-2.82567,-2.14083,2.69706,3.18249,0.955764,4.19785,-1.11894,-4.4119,4.72202,-0.738879,2.34804,-4.44464,4.16389,-4.89803,3.22912,-0.910915,0.0723015,-0.695718,3.0697,-0.226068,7.27253,-1.13924,1.99545,-5.89396,0.00599937,-1.37361,3.68989,3.30274,-1.65888,-1.56668,-2.69666,-4.13524,-3.55192,-3.00123,-0.944753,6.26326,-0.831131,-4.19816,-3.47144,0.548759,-2.49729,4.90393,-0.444786,6.29425,-2.13654,3.22822,1.60272,1.83433,0.148716,-4.33917,-2.46199,-7.64891,3.85083,-2.43903,6.58551,3.46311,6.15027,0.597778,-1.43226,-4.93317,3.25002
-185.18,1,0.056659,2,3,0,190.369,-0.36627,3.98486,2.01946,-8.5046,-4.6843,-3.06535,-1.31977,3.94054,3.71124,0.359109,-1.16016,1.24291,-4.4005,3.90543,3.17638,4.11781,-4.08885,-7.53289,2.79672,-0.950512,3.8613,-4.38186,-6.04629,0.466833,-0.994172,-4.94736,-6.91107,-3.05883,2.10106,-3.75366,-0.0883549,4.35808,0.87141,-1.02048,1.32399,-3.0265,4.2017,-1.96027,5.06151,-0.169424,2.06877,4.65772,2.13588,-6.42003,0.163854,-1.25772,4.0318,0.180007,0.028547,1.0066,3.08735,-7.58451,-2.03789,7.63143,3.73931,3.54443,4.85987,0.701829,6.32931,9.27149,-2.86721,-3.85553,1.69611,-4.07613,1.24932,2.16195,-3.41663,5.33826,-4.97353,-0.544981,-0.836534,-4.98773,-2.45684,-3.4264,-2.56063,0.864867,0.153807,-4.87095,1.3919,-4.92394,4.78433,-2.71961,-6.34431,3.45198,9.08659,2.42968,-5.3759,-4.65231,-4.84312,-5.86223,5.74035,-0.0875806,-9.23708,1.46651,3.63571,3.41285,6.44089,1.82121,2.36258,2.30137,-0.654521,5.72367
-187.774,0.820367,0.101053,1,1,0,187.79,-0.44553,4.39201,-0.676047,1.81133,1.01171,1.17054,-4.54037,-1.71295,1.5892,9.40625,4.39131,-3.86604,3.25661,-1.29084,-4.03574,-0.198343,-1.92998,-0.73026,-2.07768,6.38005,-3.56581,-2.63031,-7.35169,2.17286,1.82378,2.90454,-0.975224,-0.372459,0.176893,6.18777,2.62238,-0.969383,1.08926,-7.46625,-3.0962,-2.44958,-0.266691,-5.81583,-0.915311,1.00706,4.37582,-3.54982,3.45692,-2.64381,3.49915,-6.60341,-0.352732,-0.298137,-5.52041,2.88557,1.50222,-9.06081,-0.953506,-1.9786,5.27724,-4.15494,6.40831,0.998682,4.3706,-2.53436,-7.31716,0.226719,2.50521,5.46933,3.36444,6.84434,1.04244,2.79198,3.37929,10.7824,3.82249,-3.45831,-13.6557,5.71731,0.108208,-1.80614,-0.596703,-5.74874,-5.20594,-3.79051,-6.02361,0.137141,5.93649,1.08459,2.29491,6.44325,-7.99773,-6.53122,-1.80154,-4.49247,-5.1287,4.92837,9.10879,3.27939,0.446896,-0.611963,-0.560621,-1.65151,-7.14882,2.45979,8.70497,-0.336898
-187.854,0.576947,0.105398,2,3,0,190.192,-0.393176,3.43968,0.235777,-2.08262,3.07672,1.12766,-5.10111,0.627048,1.91346,0.708509,-2.45911,2.65254,-2.3521,1.18313,2.61937,-2.44738,-3.48741,0.389914,-2.00924,-3.54342,-8.22756,-1.3973,-0.95005,0.0404154,-0.430466,-1.65909,3.98252,-0.534248,2.31246,3.66028,-5.40811,-7.11198,-3.18794,0.750397,4.48178,-1.67863,-1.08848,-1.44137,-5.56527,-1.33254,-2.28212,7.98365,-0.751734,0.762826,-0.0420639,1.97203,-1.75686,-0.844196,-2.26472,3.01073,6.56372,0.457988,-7.91984,-0.181896,-3.13859,-4.65036,2.76376,1.35909,1.21434,4.567,2.07265,-7.61135,-2.61115,6.19081,2.67432,-4.42108,-2.53006,-0.287462,4.66556,-0.293892,-2.00048,10.3111,-5.14697,-1.40676,-0.497548,-0.0557782,-2.35406,-0.864426,2.66397,3.18955,-4.62474,1.80161,4.6312,5.30226,-1.16707,0.38271,-1.21136,3.53601,-1.36226,-0.579119,0.0429638,1.57618,2.00475,1.75292,-0.67897,-2.26383,-2.93631,0.236381,-1.49551,7.65595,-2.1336,-3.24868
