# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = regression1_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = regr1.data.R
# init = 2 (Default)
# random
#   seed = 2172945814
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.277341
# Diagonal elements of inverse mass matrix:
# 0.000980401, 3.72461e-05, 0.87569
37.3094,0.954805,0.277341,3,11,0,-35.9375,4.95743,10.0075,0.0174163
37.3826,0.968856,0.277341,3,7,0,-36.6749,4.97881,10.0042,0.0782107
36.2505,0.855758,0.277341,3,15,0,-32.7334,4.93504,10.0069,0.0345367
36.8398,0.731441,0.277341,3,7,0,-34.1289,4.94558,10.0096,0.0246589
37.5062,0.999796,0.277341,2,3,0,-36.7093,4.9484,10.0096,0.0343821
36.9922,0.989529,0.277341,3,7,0,-36.666,4.94134,10.0074,0.0762639
37.4488,0.93477,0.277341,3,7,0,-35.5886,4.97485,10.001,0.018457
38.3817,1,0.277341,2,7,0,-36.7529,5.01165,10.0019,0.0234103
39.5005,0.83723,0.277341,2,3,0,-37.0269,5.00115,9.9993,0.0177268
39.5437,0.878768,0.277341,3,15,0,-38.7744,4.99382,10.0006,0.0206479
39.0971,0.687222,0.277341,4,15,0,-36.3502,4.9875,10.001,0.0175575
37.5235,0.962136,0.277341,3,11,0,-37.0869,4.99554,9.99903,0.00501619
39.0559,1,0.277341,2,7,0,-35.2546,5.00479,10.0013,0.0380681
35.8092,0.675871,0.277341,2,7,0,-33.9978,5.0123,10.0048,0.0528856
36.5219,1,0.277341,2,3,0,-35.766,5.00949,10.0042,0.0598617
37.2863,0.968664,0.277341,3,7,0,-35.3916,5.00358,10.004,0.0154522
37.8437,1,0.277341,2,3,0,-36.8321,5.0055,10.0033,0.0170247
39.6641,0.976644,0.277341,2,7,0,-37.3425,4.99976,10.0009,0.024184
39.5707,0.979126,0.277341,3,9,0,-39.2586,5.01184,9.99763,0.0257733
39.5339,0.943281,0.277341,3,15,0,-38.5997,4.9909,10.0023,0.0245279
39.5881,0.954857,0.277341,2,7,0,-37.7091,4.99851,9.99971,0.0310273
39.2857,0.971967,0.277341,4,15,0,-39.0798,4.98642,10.0015,0.0197491
39.4003,0.986624,0.277341,2,7,0,-37.2885,5.01686,9.99842,0.0314373
39.3288,0.943584,0.277341,3,9,0,-38.554,4.99583,9.99983,0.0170944
37.6052,0.695536,0.277341,3,7,0,-35.9529,5.00346,9.99921,0.0766534
39.0203,0.997749,0.277341,4,15,0,-36.6784,4.97322,10.0032,0.0334259
38.4374,0.895854,0.277341,3,11,0,-37.3159,5.01904,10.0001,0.0149498
38.9545,0.572138,0.277341,2,3,0,-34.7945,5.02256,9.99877,0.0301895
39.3597,0.947889,0.277341,2,3,0,-38.4677,5.01825,9.99856,0.0284824
38.2733,0.927796,0.277341,2,7,0,-36.7357,5.00898,9.99774,0.00575294
37.8516,0.830079,0.277341,3,15,0,-37.1155,5.00833,10.0016,0.00541878
36.9371,0.992334,0.277341,3,15,0,-36.1372,5.02234,9.99848,0.0824419
38.5184,1,0.277341,2,3,0,-36.8482,5.02087,9.99873,0.048466
37.6287,0.94824,0.277341,3,11,0,-36.2504,5.01082,10.0008,0.00340141
39.0517,0.998178,0.277341,3,11,0,-37.5149,5.00271,9.99991,0.00841711
39.5805,0.999472,0.277341,4,15,0,-38.0019,4.99692,10.0009,0.0174808
38.7794,0.879229,0.277341,3,7,0,-38.5514,4.98384,10.0033,0.0493255
38.7729,0.963609,0.277341,3,7,0,-38.257,4.99529,10.0038,0.0270856
38.9578,0.996018,0.277341,2,7,0,-38.4215,4.99685,9.99799,0.0283138
38.9435,0.945161,0.277341,2,7,0,-37.835,4.99063,9.99925,0.0436877
38.5225,0.996052,0.277341,4,15,0,-38.1917,4.97226,10.0043,0.0170845
39.6188,1,0.277341,4,15,0,-38.477,5.0037,9.99893,0.0294635
38.2663,0.883299,0.277341,4,15,0,-37.5622,4.97785,10.0057,0.0499487
36.9348,0.806356,0.277341,4,15,0,-34.7908,4.95659,10.0025,0.0337301
37.862,1,0.277341,3,7,0,-36.8101,4.99741,10.0041,0.0508766
37.9971,0.898576,0.277341,2,7,0,-36.1433,4.98759,10.0019,0.0687866
33.9505,0.832284,0.277341,3,15,0,-31.1552,4.95224,10.0075,0.00336404
38.3124,0.687292,0.277341,3,15,0,-30.6206,5.00555,10.0023,0.0462177
39.0049,1,0.277341,2,3,0,-38.1977,5.00215,10.0001,0.0478425
39.2571,0.964445,0.277341,4,15,0,-38.2745,4.98843,10.0021,0.0149869
38.5201,0.835913,0.277341,4,15,0,-38.2755,5.01394,10.0002,0.0479434
38.7351,0.858908,0.277341,3,7,0,-36.5465,5.00251,10.0002,0.053232
37.0778,0.943123,0.277341,2,3,0,-36.9933,4.99923,10.001,0.0853335
37.4029,0.993677,0.277341,4,15,0,-35.551,4.96659,10.0062,0.0105943
37.4199,0.981576,0.277341,2,3,0,-36.9864,4.96885,10.0072,0.012759
36.517,0.981866,0.277341,2,3,0,-36.0552,4.95974,10.0077,0.0102353
36.7598,0.96825,0.277341,4,15,0,-33.5144,5.0359,9.99352,0.00564029
36.4087,0.607919,0.277341,2,3,0,-34.5068,5.02649,9.99309,0.00808324
35.8298,1,0.277341,3,15,0,-32.3053,4.9958,9.99941,0.000690946
38.3427,0.99914,0.277341,3,15,0,-35.4737,5.00976,9.99789,0.00551277
39.2505,0.993854,0.277341,3,15,0,-38.203,4.99197,10.0007,0.0154541
36.8821,0.428267,0.277341,2,7,0,-34.9112,5.00924,10.0041,0.0379835
38.0366,0.753067,0.277341,3,15,0,-34.0645,5.00138,9.99572,0.0315816
39.2942,1,0.277341,2,3,0,-38.0675,5.01159,9.9968,0.0351317
39.4022,0.99622,0.277341,3,7,0,-39.096,5.01178,9.99937,0.0330808
39.1961,0.998762,0.277341,3,11,0,-39.0387,5.02293,9.9954,0.0269313
39.2694,0.965538,0.277341,3,11,0,-37.9146,4.98319,10.0026,0.0375445
38.5852,0.915547,0.277341,3,15,0,-37.4917,4.9954,10.0012,0.00568191
39.0803,0.986243,0.277341,2,7,0,-37.1211,5.02435,9.99673,0.0154357
37.3537,0.597481,0.277341,2,7,0,-33.7536,5.02126,9.99201,0.0615572
37.4492,0.972817,0.277341,3,7,0,-36.3647,5.05422,9.99422,0.0386378
38.0247,0.849317,0.277341,3,15,0,-33.868,4.95589,10.0083,0.0457324
37.2485,0.853032,0.277341,3,15,0,-34.4749,4.99199,10.0062,0.0358541
36.8105,0.961103,0.277341,3,15,0,-35.4686,4.94943,10.0039,0.0779204
38.1665,0.951466,0.277341,3,11,0,-34.5901,5.02053,9.99989,0.0123947
38.1665,0.353081,0.277341,1,1,0,-36.1683,5.02053,9.99989,0.0123947
38.3325,0.987053,0.277341,2,7,0,-36.9151,4.98941,10.0006,0.00874642
38.7702,0.998773,0.277341,3,11,0,-37.8714,5.00832,9.99596,0.0426758
38.3654,0.826789,0.277341,3,9,0,-36.6962,5.03848,9.99216,0.0390652
39.6545,0.999977,0.277341,3,7,0,-38.3039,5.00998,9.99837,0.0244857
39.4874,0.987192,0.277341,3,15,0,-38.9086,4.98788,10.0026,0.0266467
37.361,0.94347,0.277341,3,7,0,-36.6061,4.94795,10.007,0.0710477
36.8558,0.956085,0.277341,2,3,0,-36.5486,4.9511,10.0066,0.0845538
34.3606,0.808135,0.277341,3,7,0,-29.8164,4.92147,10.0183,0.0752727
36.6736,0.985274,0.277341,2,7,0,-32.7182,4.94038,10.0123,0.0570501
37.1871,0.999607,0.277341,3,7,0,-36.6626,4.93354,10.0085,0.0461453
36.4073,0.977977,0.277341,3,7,0,-35.9464,4.92297,10.0103,0.0787832
36.4526,0.956775,0.277341,2,7,0,-35.0657,4.95125,10.0116,0.0675076
38.1551,0.980855,0.277341,3,7,0,-36.1831,4.95613,10.0078,0.0442255
38.6244,0.998699,0.277341,2,7,0,-38.0257,4.96513,10.0059,0.0420298
38.612,0.999978,0.277341,3,7,0,-38.5957,4.96478,10.0061,0.0410637
37.317,0.91749,0.277341,2,3,0,-37.2637,4.95488,10.0034,0.0685052
36.6787,0.990774,0.277341,2,7,0,-35.2132,4.93184,10.007,0.0709625
36.9057,0.999785,0.277341,2,3,0,-36.411,4.93075,10.009,0.0695936
39.3512,0.986028,0.277341,3,7,0,-36.5262,4.99191,10.0019,0.0145568
38.0274,0.701118,0.277341,2,3,0,-37.8785,4.98467,10.0001,0.0149902
35.6681,0.821586,0.277341,3,15,0,-34.2899,4.97181,10.0063,0.108811
36.9533,0.960522,0.277341,2,3,0,-34.5342,4.97667,10.0027,0.0884371
38.6396,0.998326,0.277341,3,15,0,-36.5879,5.00554,10.0011,0.00690775
37.6192,0.963345,0.277341,3,7,0,-37.535,5.02707,9.99774,0.00561854
38.4962,0.999279,0.277341,4,15,0,-37.1867,4.97341,10.0012,0.0436915
37.8169,0.942982,0.277341,2,3,0,-37.2289,4.98459,10.0065,0.0308147
38.7795,0.981262,0.277341,3,11,0,-36.2427,5.02851,9.99738,0.0177393
33.5188,0.690225,0.277341,4,15,0,-32.5219,4.97393,10.0022,0.00043328
32.8879,0.791246,0.277341,3,15,0,-29.0319,5.02214,9.99731,2.83301e-05
33.0169,0.9917,0.277341,4,15,0,-32.3633,5.00873,10.0001,2.16045e-05
33.4309,0.950561,0.277341,2,5,0,-32.653,4.99793,9.99973,4.12914e-05
32.9717,0.995184,0.277341,3,7,0,-32.8452,5.00842,9.99766,3.16812e-05
