# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=15
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=2102757686
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=output_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
-23984.1,1,0.00195312,1,1,0,290162,-1.88024,0.799154,2.66744
-23984.1,0,14.3855,0,1,1,23985.8,-1.88024,0.799154,2.66744
-23984.1,0,2.43117,0,1,1,23986.5,-1.88024,0.799154,2.66744
-23984.1,0,0.239791,0,1,1,23985.1,-1.88024,0.799154,2.66744
-23984.1,0,0.0186273,0,1,1,23986,-1.88024,0.799154,2.66744
-8157.35,1,0.00130482,3,7,0,23695.2,-1.8816,0.849532,4.58504
-3761.75,1,0.00189104,3,7,0,8091.09,-1.86767,0.903775,6.82786
-2993.36,1,0.00305706,2,3,0,3741.11,-1.868,0.911633,7.71842
-2609.11,1,0.00530085,1,1,0,2966.38,-1.86177,0.92015,8.31727
-856.658,1,0.00961161,5,31,0,2458.99,-1.86363,0.961136,16.9318
-523.308,1,0.0179176,2,3,0,830.447,-1.92216,1.0295,29.7462
-456.843,1,0.0339435,2,3,0,519.564,-2.08014,1.0699,49.9051
-407.974,0.93563,0.0648221,4,15,0,458.992,-0.612521,4.60059,36.8858
-403.038,0.890763,0.101409,3,7,0,409.297,-0.443561,4.89602,36.178
-403.179,0.0757175,0.138016,3,10,1,406.845,-0.741468,4.9648,37.1744
-403.735,0.996671,0.0150333,3,7,0,404.034,-0.758173,4.97103,38.2493
-388.239,0.998902,0.0288018,4,15,0,403.795,-0.556122,5.709,28.496
-387.49,0.998353,0.0552134,2,3,0,388.269,-0.559721,5.74523,29.1467
-388.534,0.997463,0.104862,1,1,0,388.75,-0.609525,5.70678,30.3829
-388.534,0.010271,0.196924,1,3,1,389.166,-0.609525,5.70678,30.3829
-388.43,0.997486,0.0193094,3,7,0,388.94,-0.5811,5.72413,31.2157
-382.572,0.977878,0.0364778,4,15,0,389.75,-0.383043,5.98787,29.5543
-362.268,0.773,0.0644318,4,15,0,383.989,-0.233314,6.86048,20.8137
-358.414,1,0.0621815,2,3,0,362.737,-0.192881,6.98161,21.5724
-358.414,0.280785,0.115558,2,3,0,359.073,-0.192881,6.98161,21.5724
-356.559,0.992957,0.0272321,4,15,0,358.722,-0.228991,7.05892,21.0081
-351.122,0.999705,0.0494689,2,3,0,356.88,-0.127229,7.25016,21.1652
-284.976,0.651714,0.0906812,3,7,0,353.284,-0.0694684,9.06103,12.4256
-282.185,0.725136,0.0624339,3,7,0,285.379,-0.0257357,9.08395,11.8017
-279.162,0.978956,0.0529831,1,1,0,282.267,-0.0335526,9.13415,11.3651
-171.794,0.449113,0.0903532,2,7,1,253.01,-0.0375391,10.998,4.20676
-163.404,0.975998,0.0362202,2,3,0,173.833,0.0255261,10.9081,3.74746
-163.148,1,0.0609308,2,3,0,164.803,0.0363671,10.8483,3.88665
-156.951,0.27577,0.108363,2,7,0,164.47,0.086879,10.8725,2.74349
-152.721,1,0.0280053,3,7,0,157.214,0.142802,10.7651,2.93301
